Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,1.361970,1.364294,1.354500,1.361970,1.361970,0
2021-08-03,1.358253,1.358917,1.349710,1.358585,1.358585,0
2021-08-04,1.352009,1.356668,1.346400,1.351936,1.351936,0
2021-08-05,1.354555,1.355340,1.348300,1.354463,1.354463,0
2021-08-06,1.350439,1.360930,1.350100,1.350804,1.350804,0
2021-08-09,1.362769,1.364443,1.357600,1.362800,1.362800,0
2021-08-10,1.364256,1.366830,1.359400,1.364070,1.364070,0
2021-08-11,1.361545,1.365188,1.353949,1.361693,1.361693,0
2021-08-12,1.356447,1.363122,1.355900,1.356100,1.356100,0
2021-08-13,1.362361,1.363568,1.355014,1.362120,1.362120,0
2021-08-16,1.357420,1.366060,1.357036,1.357640,1.357640,0
2021-08-17,1.362546,1.378700,1.362440,1.362200,1.362200,0
2021-08-18,1.378265,1.382820,1.375138,1.378246,1.378246,0
2021-08-19,1.382820,1.399482,1.382170,1.382935,1.382935,0
2021-08-20,1.398993,1.407004,1.396843,1.399345,1.399345,0
2021-08-23,1.400190,1.400250,1.386770,1.400600,1.400600,0
2021-08-24,1.387213,1.388600,1.375327,1.387040,1.387040,0
2021-08-25,1.379215,1.381673,1.376030,1.379539,1.379539,0
2021-08-26,1.374023,1.380815,1.373200,1.374268,1.374268,0
2021-08-27,1.382070,1.384447,1.368000,1.381521,1.381521,0
2021-08-30,1.366500,1.372458,1.366120,1.366870,1.366870,0
2021-08-31,1.371150,1.371840,1.362000,1.371510,1.371510,0
2021-09-01,1.366120,1.368270,1.356429,1.366512,1.366512,0
2021-09-02,1.357073,1.359361,1.349700,1.357220,1.357220,0
2021-09-03,1.351750,1.352082,1.337256,1.351479,1.351479,0
2021-09-06,1.343470,1.346350,1.343003,1.343180,1.343180,0
2021-09-07,1.344628,1.355420,1.339530,1.344680,1.344680,0
2021-09-08,1.353711,1.361270,1.350621,1.353803,1.353803,0
2021-09-09,1.358806,1.361007,1.352393,1.358000,1.358000,0
2021-09-10,1.356900,1.358511,1.349300,1.356700,1.356700,0
2021-09-13,1.357589,1.362955,1.355600,1.357200,1.357200,0
2021-09-14,1.357405,1.365280,1.355932,1.357607,1.357607,0
2021-09-15,1.366307,1.369300,1.362769,1.366662,1.366662,0
2021-09-16,1.362769,1.374495,1.361100,1.362175,1.362175,0
2021-09-17,1.371422,1.376027,1.365700,1.371460,1.371460,0
2021-09-20,1.376250,1.384870,1.375327,1.376650,1.376650,0
2021-09-21,1.377400,1.384581,1.372872,1.377467,1.377467,0
2021-09-22,1.382743,1.384083,1.375894,1.383509,1.383509,0
2021-09-23,1.382418,1.384332,1.367559,1.382361,1.382361,0
2021-09-24,1.369919,1.381807,1.366700,1.369900,1.369900,0
2021-09-27,1.376260,1.379196,1.371366,1.376250,1.376250,0
2021-09-28,1.373400,1.382935,1.367428,1.373513,1.373513,0
2021-09-29,1.380300,1.392331,1.376993,1.380400,1.380400,0
2021-09-30,1.393088,1.393088,1.377850,1.392758,1.392758,0
2021-10-01,1.383355,1.390090,1.374759,1.382900,1.382900,0
2021-10-04,1.374382,1.378816,1.368900,1.374530,1.374530,0
2021-10-05,1.371870,1.379025,1.370145,1.371799,1.371799,0
2021-10-06,1.372190,1.383681,1.371900,1.371600,1.371600,0
2021-10-07,1.373061,1.375289,1.365188,1.373360,1.373360,0
2021-10-08,1.366792,1.371855,1.362769,1.366718,1.366718,0
2021-10-11,1.370614,1.370614,1.356170,1.370820,1.370820,0
2021-10-12,1.360840,1.363550,1.353900,1.360840,1.360840,0
2021-10-13,1.363300,1.364927,1.355197,1.363310,1.363310,0
2021-10-14,1.353766,1.356429,1.346439,1.353900,1.353900,0
2021-10-15,1.348636,1.350530,1.344122,1.348836,1.348836,0
2021-10-18,1.346860,1.354980,1.346600,1.346840,1.346840,0
2021-10-19,1.348163,1.348163,1.336184,1.348254,1.348254,0
2021-10-20,1.336898,1.339280,1.330100,1.337400,1.337400,0
2021-10-21,1.330336,1.337150,1.325000,1.330619,1.330619,0
2021-10-22,1.339530,1.341360,1.330800,1.339818,1.339818,0
2021-10-25,1.338688,1.339513,1.331913,1.338850,1.338850,0
2021-10-26,1.334312,1.335113,1.328727,1.334793,1.334793,0
2021-10-27,1.330796,1.335399,1.326788,1.331030,1.331030,0
2021-10-28,1.333260,1.336934,1.323500,1.333200,1.333200,0
2021-10-29,1.327140,1.333230,1.323600,1.327739,1.327739,0
2021-11-01,1.329630,1.335613,1.326964,1.330090,1.330090,0
2021-11-02,1.329100,1.346330,1.327300,1.329699,1.329699,0
2021-11-03,1.344447,1.348418,1.341900,1.344267,1.344267,0
2021-11-04,1.338630,1.354300,1.338630,1.338867,1.338867,0
2021-11-05,1.349620,1.357940,1.349164,1.349650,1.349650,0
2021-11-08,1.352270,1.353839,1.345400,1.352100,1.352100,0
2021-11-09,1.348510,1.358345,1.345500,1.348654,1.348654,0
2021-11-10,1.355656,1.361637,1.352594,1.355712,1.355712,0
2021-11-11,1.363490,1.372043,1.362000,1.363490,1.363490,0
2021-11-12,1.371592,1.374212,1.365001,1.371366,1.371366,0
2021-11-15,1.363750,1.365390,1.356668,1.363790,1.363790,0
2021-11-16,1.361360,1.367970,1.356852,1.361489,1.361489,0
2021-11-17,1.369769,1.376595,1.369019,1.369560,1.369560,0
2021-11-18,1.375710,1.379196,1.370990,1.375780,1.375780,0
2021-11-19,1.374420,1.383107,1.371366,1.373815,1.373815,0
2021-11-22,1.382820,1.383300,1.375232,1.382801,1.382801,0
2021-11-23,1.383547,1.387290,1.381400,1.383500,1.383500,0
2021-11-24,1.384466,1.391401,1.383300,1.384620,1.384620,0
2021-11-25,1.388388,1.392564,1.386800,1.388503,1.388503,0
2021-11-26,1.393730,1.405700,1.393340,1.393980,1.393980,0
2021-11-29,1.400190,1.405460,1.396453,1.400010,1.400010,0
2021-11-30,1.398797,1.414948,1.394311,1.399423,1.399423,0
2021-12-01,1.403174,1.404100,1.394100,1.403509,1.403509,0
2021-12-02,1.406945,1.411390,1.404300,1.406945,1.406945,0
2021-12-03,1.410800,1.426450,1.410400,1.410875,1.410875,0
2021-12-06,1.425190,1.427100,1.417740,1.424928,1.424928,0
2021-12-07,1.418200,1.420374,1.403509,1.418600,1.418600,0
2021-12-08,1.404021,1.404909,1.394681,1.403982,1.403982,0
2021-12-09,1.394900,1.401345,1.391000,1.394700,1.394700,0
2021-12-10,1.399200,1.401700,1.392230,1.399360,1.399360,0
2021-12-13,1.395350,1.406190,1.392952,1.395460,1.395460,0
2021-12-14,1.402072,1.409880,1.400953,1.401900,1.401900,0
2021-12-15,1.407420,1.407760,1.398523,1.407261,1.407261,0
2021-12-16,1.394700,1.399310,1.384390,1.395381,1.395381,0
2021-12-17,1.393340,1.401070,1.391982,1.393610,1.393610,0
2021-12-20,1.404410,1.411811,1.402700,1.405090,1.405090,0
2021-12-21,1.406150,1.408290,1.400130,1.406569,1.406569,0
2021-12-22,1.398993,1.404199,1.385600,1.399032,1.399032,0
2021-12-23,1.386405,1.389275,1.380262,1.386194,1.386194,0
2021-12-24,1.382686,1.384639,1.379672,1.382514,1.382514,0
2021-12-27,1.382990,1.387694,1.380453,1.382880,1.382880,0
2021-12-28,1.382074,1.385022,1.376462,1.381788,1.381788,0
2021-12-29,1.382552,1.386232,1.374900,1.382361,1.382361,0
2021-12-30,1.377031,1.380415,1.373891,1.377640,1.377640,0
2021-12-31,1.379100,1.380319,1.374382,1.379348,1.379348,0
2022-01-03,1.375800,1.391614,1.373800,1.375860,1.375860,0
2022-01-04,1.389487,1.391730,1.379501,1.389275,1.389275,0
