Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,1.247130,1.250260,1.245310,1.246670,1.246670,0
2021-08-03,1.249940,1.257490,1.248800,1.250110,1.250110,0
2021-08-04,1.253300,1.256170,1.251500,1.253330,1.253330,0
2021-08-05,1.254420,1.254420,1.247450,1.254500,1.254500,0
2021-08-06,1.250100,1.258060,1.249500,1.250130,1.250130,0
2021-08-09,1.257200,1.258670,1.253160,1.257090,1.257090,0
2021-08-10,1.257530,1.258870,1.252300,1.257380,1.257380,0
2021-08-11,1.251790,1.254740,1.249190,1.251900,1.251900,0
2021-08-12,1.250510,1.252820,1.249800,1.250680,1.250680,0
2021-08-13,1.251880,1.253170,1.250280,1.252000,1.252000,0
2021-08-16,1.251400,1.258300,1.251400,1.251600,1.251600,0
2021-08-17,1.257130,1.263320,1.257090,1.256960,1.256960,0
2021-08-18,1.262620,1.264200,1.260200,1.262650,1.262650,0
2021-08-19,1.266100,1.281640,1.265800,1.266310,1.266310,0
2021-08-20,1.282860,1.294760,1.281300,1.283130,1.283130,0
2021-08-23,1.282060,1.282130,1.266120,1.282600,1.282600,0
2021-08-24,1.265220,1.265750,1.257940,1.265100,1.265100,0
2021-08-25,1.259310,1.264010,1.258700,1.259600,1.259600,0
2021-08-26,1.258940,1.265490,1.258900,1.258870,1.258870,0
2021-08-27,1.268600,1.270730,1.261190,1.268490,1.268490,0
2021-08-30,1.260900,1.263280,1.257500,1.261100,1.261100,0
2021-08-31,1.260870,1.265180,1.256800,1.260890,1.260890,0
2021-09-01,1.261430,1.263580,1.257930,1.261610,1.261610,0
2021-09-02,1.261630,1.263790,1.255200,1.262170,1.262170,0
2021-09-03,1.255260,1.255820,1.249830,1.255180,1.255180,0
2021-09-06,1.253050,1.255800,1.252410,1.253030,1.253030,0
2021-09-07,1.253470,1.264210,1.251800,1.253430,1.253430,0
2021-09-08,1.264670,1.276100,1.262600,1.264640,1.264640,0
2021-09-09,1.269670,1.272660,1.264540,1.269400,1.269400,0
2021-09-10,1.266490,1.267230,1.258310,1.266260,1.266260,0
2021-09-13,1.267770,1.269360,1.263800,1.267950,1.267950,0
2021-09-14,1.264690,1.268170,1.260200,1.264800,1.264800,0
2021-09-15,1.269110,1.270720,1.263610,1.269000,1.269000,0
2021-09-16,1.262320,1.269750,1.261400,1.261810,1.261810,0
2021-09-17,1.268050,1.276100,1.263600,1.268150,1.268150,0
2021-09-20,1.276200,1.289200,1.275800,1.276400,1.276400,0
2021-09-21,1.280600,1.284740,1.274100,1.280240,1.280240,0
2021-09-22,1.281630,1.282430,1.272300,1.282080,1.282080,0
2021-09-23,1.278500,1.279510,1.263480,1.278590,1.278590,0
2021-09-24,1.266010,1.272880,1.264090,1.266200,1.266200,0
2021-09-27,1.264900,1.266920,1.261000,1.264940,1.264940,0
2021-09-28,1.262780,1.270670,1.259420,1.262620,1.262620,0
2021-09-29,1.267500,1.275560,1.266600,1.267700,1.267700,0
2021-09-30,1.275600,1.275600,1.263200,1.275380,1.275380,0
2021-10-01,1.268410,1.273660,1.264680,1.268400,1.268400,0
2021-10-04,1.262400,1.265330,1.255760,1.262500,1.262500,0
2021-10-05,1.258800,1.262670,1.254990,1.258980,1.258980,0
2021-10-06,1.258450,1.264700,1.258200,1.258270,1.258270,0
2021-10-07,1.258530,1.259790,1.253800,1.258620,1.258620,0
2021-10-08,1.254790,1.256130,1.245260,1.254700,1.254700,0
2021-10-11,1.248580,1.248580,1.244500,1.248410,1.248410,0
2021-10-12,1.248000,1.249750,1.244030,1.248040,1.248040,0
2021-10-13,1.247670,1.247770,1.243300,1.247610,1.247610,0
2021-10-14,1.243590,1.243790,1.235490,1.243680,1.243680,0
2021-10-15,1.237300,1.238940,1.233600,1.237460,1.237460,0
2021-10-18,1.237470,1.240840,1.235040,1.237370,1.237370,0
2021-10-19,1.237110,1.237230,1.231000,1.237220,1.237220,0
2021-10-20,1.235270,1.236530,1.231800,1.235400,1.235400,0
2021-10-21,1.232390,1.235340,1.228880,1.232440,1.232440,0
2021-10-22,1.236950,1.238580,1.232060,1.237030,1.237030,0
2021-10-25,1.236950,1.238850,1.233760,1.237130,1.237130,0
2021-10-26,1.237500,1.239350,1.235000,1.237900,1.237900,0
2021-10-27,1.238880,1.243120,1.230230,1.239140,1.239140,0
2021-10-28,1.236900,1.238170,1.233100,1.236970,1.236970,0
2021-10-29,1.234430,1.240740,1.232790,1.234610,1.234610,0
2021-11-01,1.237950,1.240320,1.235230,1.238290,1.238290,0
2021-11-02,1.237300,1.242200,1.236900,1.237390,1.237390,0
2021-11-03,1.240700,1.245470,1.240400,1.240800,1.240800,0
2021-11-04,1.237870,1.246960,1.237700,1.237780,1.237780,0
2021-11-05,1.245110,1.247920,1.243800,1.245100,1.245100,0
2021-11-08,1.245060,1.246470,1.243500,1.245080,1.245080,0
2021-11-09,1.244250,1.248340,1.242600,1.244220,1.244220,0
2021-11-10,1.243400,1.245350,1.238710,1.243600,1.243600,0
2021-11-11,1.248700,1.259170,1.248160,1.248650,1.248650,0
2021-11-12,1.258890,1.260280,1.254660,1.258850,1.258850,0
2021-11-15,1.254560,1.255510,1.250180,1.254530,1.254530,0
2021-11-16,1.251430,1.256250,1.249300,1.251400,1.251400,0
2021-11-17,1.256650,1.260400,1.253800,1.256570,1.256570,0
2021-11-18,1.260950,1.264630,1.259200,1.261120,1.261120,0
2021-11-19,1.260380,1.266090,1.258400,1.260350,1.260350,0
2021-11-22,1.265400,1.268890,1.262900,1.265350,1.265350,0
2021-11-23,1.270150,1.274420,1.269420,1.270130,1.270130,0
2021-11-24,1.267540,1.270910,1.265300,1.267590,1.267590,0
2021-11-25,1.266090,1.267670,1.263900,1.266170,1.266170,0
2021-11-26,1.266100,1.279840,1.266070,1.266370,1.266370,0
2021-11-29,1.272190,1.279250,1.272190,1.272480,1.272480,0
2021-11-30,1.273700,1.282800,1.273000,1.273800,1.273800,0
2021-12-01,1.277210,1.278140,1.271410,1.277430,1.277430,0
2021-12-02,1.281030,1.283650,1.277800,1.281090,1.281090,0
2021-12-03,1.281850,1.284480,1.274420,1.281770,1.281770,0
2021-12-06,1.281970,1.284160,1.277390,1.281700,1.281700,0
2021-12-07,1.276000,1.276700,1.263640,1.276200,1.276200,0
2021-12-08,1.264590,1.266610,1.260820,1.264580,1.264580,0
2021-12-09,1.265040,1.271470,1.264800,1.265220,1.265220,0
2021-12-10,1.270580,1.273480,1.268000,1.270840,1.270840,0
2021-12-13,1.271910,1.281860,1.270500,1.271990,1.271990,0
2021-12-14,1.280600,1.285880,1.279710,1.280760,1.280760,0
2021-12-15,1.286580,1.291960,1.284300,1.286710,1.286710,0
2021-12-16,1.283570,1.285660,1.276420,1.283650,1.283650,0
2021-12-17,1.277930,1.284470,1.277700,1.277970,1.277970,0
2021-12-20,1.289680,1.296320,1.288500,1.289850,1.289850,0
2021-12-21,1.293490,1.294500,1.291300,1.293600,1.293600,0
2021-12-22,1.292280,1.292280,1.283660,1.292300,1.292300,0
2021-12-23,1.285120,1.285300,1.280830,1.285120,1.285120,0
2021-12-24,1.282560,1.283210,1.278260,1.282390,1.282390,0
2021-12-27,1.281420,1.284620,1.277880,1.281400,1.281400,0
2021-12-28,1.278820,1.282320,1.278000,1.278700,1.278700,0
2021-12-29,1.281400,1.283380,1.278900,1.281300,1.281300,0
2021-12-30,1.278290,1.281180,1.276900,1.278260,1.278260,0
2021-12-31,1.274300,1.275000,1.262680,1.274440,1.274440,0
2022-01-03,1.265710,1.277810,1.264400,1.265880,1.265880,0
2022-01-04,1.275140,1.276560,1.266720,1.275130,1.275130,0
2022-01-05,1.270350,1.273920,1.269110,1.270440,1.270440,0
2022-01-06,1.275760,1.281330,1.272260,1.276010,1.276010,0
2022-01-07,1.272690,1.272960,1.264260,1.273020,1.273020,0
2022-01-10,1.264560,1.269290,1.261000,1.264690,1.264690,0
2022-01-11,1.266530,1.266920,1.259700,1.266500,1.266500,0
2022-01-12,1.257890,1.257890,1.249860,1.257750,1.257750,0
2022-01-13,1.250270,1.250980,1.245200,1.250160,1.250160,0
2022-01-14,1.250930,1.255280,1.247120,1.250780,1.250780,0
2022-01-17,1.254090,1.255090,1.249970,1.254220,1.254220,0
2022-01-18,1.251400,1.254810,1.248500,1.251570,1.251570,0
2022-01-19,1.249630,1.252390,1.245500,1.249750,1.249750,0
2022-01-20,1.251040,1.251090,1.245430,1.251090,1.251090,0
2022-01-21,1.249810,1.255210,1.249810,1.250030,1.250030,0
2022-01-24,1.256350,1.270070,1.255300,1.256100,1.256100,0
2022-01-25,1.262670,1.266800,1.261950,1.262550,1.262550,0
2022-01-26,1.261580,1.263820,1.255950,1.261590,1.261590,0
2022-01-27,1.265590,1.272590,1.265050,1.265850,1.265850,0
2022-01-28,1.274510,1.279620,1.271100,1.274570,1.274570,0
2022-01-31,1.276090,1.277460,1.269360,1.275910,1.275910,0
2022-02-01,1.271920,1.272510,1.265430,1.271740,1.271740,0
2022-02-02,1.269160,1.270450,1.264770,1.268960,1.268960,0
2022-02-03,1.268580,1.271470,1.266130,1.268640,1.268640,0
2022-02-04,1.267910,1.278720,1.266200,1.267850,1.267850,0
2022-02-07,1.274530,1.275430,1.267230,1.274530,1.274530,0
2022-02-08,1.266590,1.271980,1.266400,1.266560,1.266560,0
2022-02-09,1.270400,1.271450,1.267010,1.270540,1.270540,0
2022-02-10,1.267680,1.271810,1.263590,1.267610,1.267610,0
2022-02-11,1.273340,1.275310,1.267300,1.273200,1.273200,0
2022-02-14,1.272190,1.278260,1.272180,1.272350,1.272350,0
2022-02-15,1.272800,1.277360,1.270170,1.272860,1.272860,0
